N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.004,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.008,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.012,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.016,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.020,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.024,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.028,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.032,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.036,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.040,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.044,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.048,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.052,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.056,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.060,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.064,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.068,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.072,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.076,0.05
5,1.0,cartesian_kuramoto,0.0,1.0,300,0.15,0.5,10,10,0.4,3,0.1,0.080,0.05