N,K,model,μ,Δω,res_size,scaling,knowledge_ratio,data_dim,model_dim,spectral_radius,mean_degree,dt,K_err,omega_err,reg_param
10,1.0,cartesian_kuramoto,0.0,0.01,50,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,100,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,150,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,200,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,250,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,300,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,350,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,400,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,450,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,500,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,550,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,600,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,650,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,700,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,750,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,800,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,850,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,900,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,950,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001
10,1.0,cartesian_kuramoto,0.0,0.01,1000,0.25,0.5,20,20,0.2,3,0.1,0.05,0.05,0.0001